,1,2,3,4,5,6,7,8,9,10,11,12
A,MCL1-V/V-timept1-0,MCL1-V/V-timept1-0,MCL1-V/V-timept1-0,MCL1-V/V-timept1-1,MCL1-V/V-timept1-1,MCL1-V/V-timept1-1,MCL1-V/V-timept2-0,MCL1-V/V-timept2-0,MCL1-V/V-timept2-0,MCL1-V/V-timept2-1,MCL1-V/V-timept2-1,MCL1-V/V-timept2-1
B,MCL1-D/V-timept1-0,MCL1-D/V-timept1-0,MCL1-D/V-timept1-0,MCL1-D/V-timept1-1,MCL1-D/V-timept1-1,MCL1-D/V-timept1-1,MCL1-D/V-timept2-0,MCL1-D/V-timept2-0,MCL1-D/V-timept2-0,MCL1-D/V-timept2-1,MCL1-D/V-timept2-1,MCL1-D/V-timept2-1
C,MCL1-D/M-timept1-0,MCL1-D/M-timept1-0,MCL1-D/M-timept1-0,MCL1-D/M-timept1-1,MCL1-D/M-timept1-1,MCL1-D/M-timept1-1,MCL1-D/M-timept2-0,MCL1-D/M-timept2-0,MCL1-D/M-timept2-0,MCL1-D/M-timept2-1,MCL1-D/M-timept2-1,MCL1-D/M-timept2-1
D,MCL1-D/134-timept1-0,MCL1-D/134-timept1-0,MCL1-D/134-timept1-0,MCL1-D/134-timept1-1,MCL1-D/134-timept1-1,MCL1-D/134-timept1-1,MCL1-D/134-timept2-0,MCL1-D/134-timept2-0,MCL1-D/134-timept2-0,MCL1-D/134-timept2-1,MCL1-D/134-timept2-1,MCL1-D/134-timept2-1
E,MCL1-D/297-timept1-0,MCL1-D/297-timept1-0,MCL1-D/297-timept1-0,MCL1-D/297-timept1-1,MCL1-D/297-timept1-1,MCL1-D/297-timept1-1,MCL1-D/297-timept2-0,MCL1-D/297-timept2-0,MCL1-D/297-timept2-0,MCL1-D/297-timept2-1,MCL1-D/297-timept2-1,MCL1-D/297-timept2-1
F,MCL1-D/335-timept1-0,MCL1-D/335-timept1-0,MCL1-D/335-timept1-0,MCL1-D/335-timept1-1,MCL1-D/335-timept1-1,MCL1-D/335-timept1-1,MCL1-D/335-timept2-0,MCL1-D/335-timept2-0,MCL1-D/335-timept2-0,MCL1-D/335-timept2-1,MCL1-D/335-timept2-1,MCL1-D/335-timept2-1
G,,,,,,,,,,,,
H,,,,,,,,,,,,
