,1,2,3,4,5,6,7,8,9,10,11,12
A,PGR-Veh-4h-0,PGR-Veh-4h-0,PGR-Veh-4h-0,PGR-Dex-4h-0,PGR-Dex-4h-0,PGR-Dex-4h-0,PGR-E2-4h-0,PGR-E2-4h-0,PGR-E2-4h-0,PGR-E2/Dex-4h-0,PGR-E2/Dex-4h-0,PGR-E2/Dex-4h-0
B,PGR-Veh-8h-0,PGR-Veh-8h-0,PGR-Veh-8h-0,PGR-Dex-8h-0,PGR-Dex-8h-0,PGR-Dex-8h-0,PGR-E2-8h-0,PGR-E2-8h-0,PGR-E2-8h-0,PGR-E2/Dex-8h-0,PGR-E2/Dex-8h-0,PGR-E2/Dex-8h-0
C,PGR-Veh-24h-0,PGR-Veh-24h-0,PGR-Veh-24h-0,PGR-Dex-24h-0,PGR-Dex-24h-0,PGR-Dex-24h-0,PGR-E2-24h-0,PGR-E2-24h-0,PGR-E2-24h-0,PGR-E2/Dex-24h-0,PGR-E2/Dex-24h-0,PGR-E2/Dex-24h-0
D,,,,,,,,,,,,
E,PGR-Veh-4h-1,PGR-Veh-4h-1,PGR-Veh-4h-1,PGR-Dex-4h-1,PGR-Dex-4h-1,PGR-Dex-4h-1,PGR-E2-4h-1,PGR-E2-4h-1,PGR-E2-4h-1,PGR-E2/Dex-4h-1,PGR-E2/Dex-4h-1,PGR-E2/Dex-4h-1
F,PGR-Veh-8h-1,PGR-Veh-8h-1,PGR-Veh-8h-1,PGR-Dex-8h-1,PGR-Dex-8h-1,PGR-Dex-8h-1,PGR-E2-8h-1,PGR-E2-8h-1,PGR-E2-8h-1,PGR-E2/Dex-8h-1,PGR-E2/Dex-8h-1,PGR-E2/Dex-8h-1
G,PGR-Veh-24h-1,PGR-Veh-24h-1,PGR-Veh-24h-1,PGR-Dex-24h-1,PGR-Dex-24h-1,PGR-Dex-24h-1,PGR-E2-24h-1,PGR-E2-24h-1,PGR-E2-24h-1,PGR-E2/Dex-24h-1,PGR-E2/Dex-24h-1,PGR-E2/Dex-24h-1
H,,,,,,,,,,,,
